original_ibes,new_ibes,new_compustat,original_compustat,new_ibes2,new_compustat2
EXPEDIA,EXPEDIA,EXPEDIA GROUP,EXPEDIA GROUP INC,EXPEDIA,EXPEDIA GROUP
EXPEDIA INC,EXPEDIA,EXPEDIA GROUP,EXPEDIA GROUP INC,EXPEDIA,EXPEDIA GROUP
EXPEDITORS,EXPEDITORS,EXPEDITORS INTL WASH,EXPEDITORS INTL WASH INC,EXPEDITORS,EXPEDITORS INTERNATIONAL WASH
EXPEDITORS INTL,EXPEDITORS INTL,EXPEDITORS INTL WASH,EXPEDITORS INTL WASH INC,EXPEDITORS INTERNATIONAL,EXPEDITORS INTERNATIONAL WASH
EXPONENT INC,EXPONENT,EXPONENT,EXPONENT INC,EXPONENT,EXPONENT
EXPRES,EXPRES,EXPRESS,EXPRESS INC,EXPRES,EXPRESS
EXPRESS INC,EXPRESS,EXPRESS,EXPRESS INC,EXPRESS,EXPRESS
EXPRESS SCR,EXPRESS SCR,EXPRESS SCRIPTS HOLDING CO,EXPRESS SCRIPTS HOLDING CO,EXPRESS SCR,EXPRESS SCRIPTS HOLDINGS
EXPRESS SCRIPTS,EXPRESS SCRIPTS,EXPRESS SCRIPTS HOLDING CO,EXPRESS SCRIPTS HOLDING CO,EXPRESS SCRIPTS,EXPRESS SCRIPTS HOLDINGS
EXTERRAN US,EXTERRAN US,EXTERRAN,EXTERRAN CORP,EXTERRAN US,EXTERRAN
EXTRA SPACE,EXTRA SPACE,EXTRA SPACE STORAGE,EXTRA SPACE STORAGE INC,EXTRA SPACE,EXTRA SPACE STORAGE
EXTREME NETWKS,EXTREME NETWKS,EXTREME NETWORKS,EXTREME NETWORKS INC,EXTREME NETWKS,EXTREME NETWORKS
EXXON MOBIL,EXXON MOBIL,EXXON MOBIL,EXXON MOBIL CORP,EXXON MOBIL,EXXON MOBIL
EXXON MOBIL CORP,EXXON MOBIL,EXXON MOBIL,EXXON MOBIL CORP,EXXON MOBIL,EXXON MOBIL
EZCORP INC,EZCORP,EZCORP  -CL A,EZCORP INC  -CL A,EZCORP,EZCORP INC  CL A
F5 NETWORKS INC,F5 NETWORKS,F5 NETWORKS,F5 NETWORKS INC,F5 NETWORKS,F5 NETWORKS
FABRINET,FABRINET,FABRINET,FABRINET,FABRINET,FABRINET
FACEBOOK,FACEBOOK,FACEBOOK,FACEBOOK INC,FACEBOOK,FACEBOOK
FACEBOOK INC,FACEBOOK,FACEBOOK,FACEBOOK INC,FACEBOOK,FACEBOOK
FACTSET RESEARCH,FACTSET RESEARCH,FACTSET RESEARCH SYSTEMS,FACTSET RESEARCH SYSTEMS INC,FACTSET RESEARCH,FACTSET RESEARCH SYSTEMS
FAIR ISAAC,FAIR ISAAC,FAIR ISAAC,FAIR ISAAC CORP,FAIR ISAAC,FAIR ISAAC
FAIR ISAAC CORP,FAIR ISAAC,FAIR ISAAC,FAIR ISAAC CORP,FAIR ISAAC,FAIR ISAAC
FAIRCHILD SEMI.,FAIRCHILD SEMI.,FAIRCHILD SEMICONDUCTOR INTL,FAIRCHILD SEMICONDUCTOR INTL,FAIRCHILD SEMI,FAIRCHILD SEMICONDUCTOR INTERNATIONAL
FAIRCHILD SEMICO,FAIRCHILD SEMICO,FAIRCHILD SEMICONDUCTOR INTL,FAIRCHILD SEMICONDUCTOR INTL,FAIRCHILD SEMICO,FAIRCHILD SEMICONDUCTOR INTERNATIONAL
FAIRPOINT COMMUN,FAIRPOINT COMMUN,FAIRPOINT COMMUNICATIONS,FAIRPOINT COMMUNICATIONS INC,FAIRPOINT COMMUN,FAIRPOINT COMMUNICATIONS
FAMILY DLR STORS,FAMILY DLR STORS,FAMILY DOLLAR STORES,FAMILY DOLLAR STORES,FAMILY DLR STORS,FAMILY DOLLAR STORES
FANNIE MAE,FANNIE MAE,FEDERAL NATIONAL MORTGA ASSN,FEDERAL NATIONAL MORTGA ASSN,FANNIE MAE,FEDERAL NATIONAL MORTGA ASSN
FARO TECH INC.,FARO TECH.,FARO TECHNOLOGIES,FARO TECHNOLOGIES INC,FARO TECHNOLOGY,FARO TECHNOLOGY
FASTENAL,FASTENAL,FASTENAL CO,FASTENAL CO,FASTENAL,FASTENAL
FASTENAL CO,FASTENAL CO,FASTENAL CO,FASTENAL CO,FASTENAL,FASTENAL
FCX,FCX,FREEPORT-MCMORAN,FREEPORT-MCMORAN INC,FCX,FREEPORTMCMORAN
FDLTY NATL FINCL,FDLTY NATL FINCL,FIDELITY NATL FINL FNF GROUP,FIDELITY NATL FINL FNF GROUP,FDLTY NATL FINCL,FIDELITY NATL FINL FNF GROUP
FDRTD INVSTRS,FDRTD INVSTRS,FEDERATED HERMES,FEDERATED HERMES INC,FDRTD INVSTRS,FEDERATED HERMES
FED HOME LN MTG,FED HOME LN MTG,FEDERAL HOME LOAN MORTG,FEDERAL HOME LOAN MORTG CORP,FED HOME LN MTG,FEDERAL HOME LOAN MORTG
FED RLTY INV,FED RLTY INV,FEDERAL REALTY INVESTMENT TR,FEDERAL REALTY INVESTMENT TR,FED RLTY INV,FEDERAL REALTY INVESTMENTS TR
FED SIGNAL CP,FED SIGNAL CP,FEDERAL SIGNAL,FEDERAL SIGNAL CORP,FED SIGNAL,FEDERAL SIGNAL
FEDERAL MOGUL CO,FEDERAL MOGUL CO,FEDERAL-MOGUL,FEDERAL-MOGUL HOLDINGS CORP,FEDERAL MOGUL,FEDERALMOGUL HOLDINGS
FEDERAL NATIONAL,FEDERAL NATIONAL,FEDERAL NATIONAL MORTGA ASSN,FEDERAL NATIONAL MORTGA ASSN,FEDERAL NATIONAL,FEDERAL NATIONAL MORTGA ASSN
FEDERAL SIGNAL,FEDERAL SIGNAL,FEDERAL SIGNAL,FEDERAL SIGNAL CORP,FEDERAL SIGNAL,FEDERAL SIGNAL
FEDERAL-MOGUL HO,FEDERAL-MOGUL HO,FEDERAL-MOGUL,FEDERAL-MOGUL HOLDINGS CORP,FEDERALMOGUL HO,FEDERALMOGUL HOLDINGS
FEDERATED INVEST,FEDERATED INVEST,FEDERATED HERMES,FEDERATED HERMES INC,FEDERATED INVEST,FEDERATED HERMES
FEDEX,FEDEX,FEDEX,FEDEX CORP,FEDEX,FEDEX
FEDEX CORP,FEDEX,FEDEX,FEDEX CORP,FEDEX,FEDEX
FEI CO US,FEI CO US,FEI CO,FEI CO,FEI CO US,FEI
FEI COMPANY,FEI COMPANY,FEI CO,FEI CO,FEI,FEI
FERRO,FERRO,FERRO,FERRO CORP,FERRO,FERRO
FERRO CP,FERRO CP,FERRO,FERRO CORP,FERRO,FERRO
FFN,FFN,FRANKLIN FINL NETWORK,FRANKLIN FINL NETWORK INC,FFN,FRANKLIN FINL NETWORK
FGL HLDG,FGL HLDG,FGL,FGL HOLDINGS,FGL HLDG,FGL HOLDINGS
FHNC,FHNC,FIRST HORIZON NATIONAL,FIRST HORIZON NATIONAL CORP,FHNC,FIRST HORIZON NATIONAL
FIDELITY NATL,FIDELITY NATL,FIDELITY NATL FINL FNF GROUP,FIDELITY NATL FINL FNF GROUP,FIDELITY NATL,FIDELITY NATL FINL FNF GROUP
FIDELITY NATNL I,FIDELITY NATNL I,FIDELITY NATIONAL INFO SVCS,FIDELITY NATIONAL INFO SVCS,FIDELITY NATNL I,FIDELITY NATIONAL INFO SERVICES
FIDELITY NTL INF,FIDELITY NTL INF,FIDELITY NATIONAL INFO SVCS,FIDELITY NATIONAL INFO SVCS,FIDELITY NTL INF,FIDELITY NATIONAL INFO SERVICES
FIDELITY SOUTHER,FIDELITY SOUTHER,FIDELITY SOUTHERN,FIDELITY SOUTHERN CORP,FIDELITY SOUTHER,FIDELITY SOUTHERN
FIESTA RESTAURAN,FIESTA RESTAURAN,FIESTA RESTAURANT GROUP,FIESTA RESTAURANT GROUP INC,FIESTA RESTAURAN,FIESTA RESTAURANT GROUP
FIFTH THIRD BANC,FIFTH THIRD BANC,FIFTH THIRD,FIFTH THIRD BANCORP,FIFTH THIRD BANK,FIFTH THIRD BANK
FINANCIAL ENGINE,FINANCIAL ENGINE,FINANCIAL ENGINES,FINANCIAL ENGINES INC,FINANCIAL ENGINE,FINANCIAL ENGINES
FINISAR CORP,FINISAR,FINISAR,FINISAR CORP,FINISAR,FINISAR
FINISH LINE INC,FINISH LINE,FINISH LINE  -CL A,FINISH LINE INC  -CL A,FINISH LINE,FINISH LINE INC  CL A
FIRST BANCORP,FIRST,FIRST P R,FIRST BANCORP P R,FIRST BANK,FIRST BANK P R
FIRST AMERICAN F,FIRST AMERICAN F,FIRST AMERICAN FINANCIAL CP,FIRST AMERICAN FINANCIAL CP,FIRST AMERICAN F,FIRST AMERICAN FINANCIAL
FIRST CMNWLTH,FIRST CMNWLTH,FIRST COMMONWLTH FINL CP/PA,FIRST COMMONWLTH FINL CP/PA,FIRST CMNWLTH,FIRST COMMONWLTH FINL CPPA
FIRST DATA,FIRST DATA,FIRST DATA,FIRST DATA CORP,FIRST DATA,FIRST DATA
FIRST FINANCIAL,FIRST FINANCIAL,FIRST FINL BANKSHARES,FIRST FINL BANKSHARES INC,FIRST FINANCIAL,FIRST FINL BANKSHARES
FIRST HORIZON,FIRST HORIZON,FIRST HORIZON NATIONAL,FIRST HORIZON NATIONAL CORP,FIRST HORIZON,FIRST HORIZON NATIONAL
FIRST NBC BANK H,FIRST NBC BANK H,FIRST NBC BANK HOLDING CO,FIRST NBC BANK HOLDING CO,FIRST NBC BANK H,FIRST NBC BANK HOLDINGS
FIRST NIAGARA,FIRST NIAGARA,FIRST NIAGARA FINANCIAL GRP,FIRST NIAGARA FINANCIAL GRP,FIRST NIAGARA,FIRST NIAGARA FINANCIAL GROUP
FIRST BANCORP PR,FIRST PR,FIRST P R,FIRST BANCORP P R,FIRST BANK PR,FIRST BANK P R
FIRST REPUBLIC,FIRST REPUBLIC,FIRST REPUBLIC BANK,FIRST REPUBLIC BANK,FIRST REPUBLIC,FIRST REPUBLIC BANK
FIRST SOLAR,FIRST SOLAR,FIRST SOLAR,FIRST SOLAR INC,FIRST SOLAR,FIRST SOLAR
FIRSTCASH,FIRSTCASH,FIRSTCASH,FIRSTCASH INC,FIRSTCASH,FIRSTCASH
FIRSTENERGY,FIRSTENERGY,FIRSTENERGY,FIRSTENERGY CORP,FIRSTENERGY,FIRSTENERGY
FIRSTENERGY CORP,FIRSTENERGY,FIRSTENERGY,FIRSTENERGY CORP,FIRSTENERGY,FIRSTENERGY
FIRSTMERIT CP,FIRSTMERIT CP,FIRSTMERIT,FIRSTMERIT CORP,FIRSTMERIT,FIRSTMERIT
FISERV,FISERV,FISERV,FISERV INC,FISERV,FISERV
FISERV INC,FISERV,FISERV,FISERV INC,FISERV,FISERV
FIVE BELOW INC,FIVE BELOW,FIVE BELOW,FIVE BELOW INC,FIVE BELOW,FIVE BELOW
FLAGSTAR BANCP,FLAGSTAR BANCP,FLAGSTAR,FLAGSTAR BANCORP INC,FLAGSTAR BANCP,FLAGSTAR BANK
FLEETCOR TECHNO,FLEETCOR TECHNO,FLEETCOR TECHNOLOGIES,FLEETCOR TECHNOLOGIES INC,FLEETCOR TECHNOLOGY,FLEETCOR TECHNOLOGY
FLEETCOR TECHNOL,FLEETCOR TECHNOL,FLEETCOR TECHNOLOGIES,FLEETCOR TECHNOLOGIES INC,FLEETCOR TECHNOLOGY,FLEETCOR TECHNOLOGY
FLIR SYSTEMS,FLIR SYSTEMS,FLIR SYSTEMS,FLIR SYSTEMS INC,FLIR SYSTEMS,FLIR SYSTEMS
FLOTEK INDS,FLOTEK INDS,FLOTEK INDUSTRIES,FLOTEK INDUSTRIES INC,FLOTEK INDS,FLOTEK INDUSTRIES
FLOTEK INDUSTRIE,FLOTEK INDUSTRIE,FLOTEK INDUSTRIES,FLOTEK INDUSTRIES INC,FLOTEK INDUSTRIES,FLOTEK INDUSTRIES
FLOWERS FOODS,FLOWERS FOODS,FLOWERS FOODS,FLOWERS FOODS INC,FLOWERS FOODS,FLOWERS FOODS
FLOWSERVE,FLOWSERVE,FLOWSERVE,FLOWSERVE CORP,FLOWSERVE,FLOWSERVE
FLOWSERVE CORP,FLOWSERVE,FLOWSERVE,FLOWSERVE CORP,FLOWSERVE,FLOWSERVE
FLUOR,FLUOR,FLUOR,FLUOR CORP,FLUOR,FLUOR
FLUOR CORP,FLUOR,FLUOR,FLUOR CORP,FLUOR,FLUOR
FMC,FMC,FMC,FMC CORP,FMC,FMC
FMC CORP,FMC,FMC,FMC CORP,FMC,FMC
FMC CP,FMC CP,FMC,FMC CORP,FMC,FMC
FMC TECH,FMC TECH,FMC TECHNOLOGIES,FMC TECHNOLOGIES INC,FMC TECHNOLOGY,FMC TECHNOLOGY
FNB,FNB,F N B/FL,F N B CORP/FL,FNB,F N B CORPFL
FNB CORP,FNB,F N B/FL,F N B CORP/FL,FNB,F N B CORPFL
FNB CO,FNB CO,F N B/FL,F N B CORP/FL,FNB,F N B CORPFL
FNF,FNF,FIDELITY NATL FINL FNF GROUP,FIDELITY NATL FINL FNF GROUP,FNF,FIDELITY NATL FINL FNF GROUP
FOOT LOCKER INC,FOOT LOCKER,FOOT LOCKER,FOOT LOCKER INC,FOOT LOCKER,FOOT LOCKER
FORD MOTOR,FORD MOTOR,FORD MOTOR CO,FORD MOTOR CO,FORD MOTOR,FORD MOTOR
FORD MOTOR CO,FORD MOTOR CO,FORD MOTOR CO,FORD MOTOR CO,FORD MOTOR,FORD MOTOR
FOREST LABS,FOREST LABS,FOREST LABORATORIES  -CL A,FOREST LABORATORIES  -CL A,FOREST LABS,FOREST LABORATORIES  CL A
FORMFACTOR,FORMFACTOR,FORMFACTOR,FORMFACTOR INC,FORMFACTOR,FORMFACTOR
FORMFACTOR INC.,FORMFACTOR.,FORMFACTOR,FORMFACTOR INC,FORMFACTOR,FORMFACTOR
FORRESTER,FORRESTER,FORRESTER RESEARCH,FORRESTER RESEARCH INC,FORRESTER,FORRESTER RESEARCH
FORRESTER RSCH,FORRESTER RSCH,FORRESTER RESEARCH,FORRESTER RESEARCH INC,FORRESTER RSCH,FORRESTER RESEARCH
FORTINET INC,FORTINET,FORTINET,FORTINET INC,FORTINET,FORTINET
FORTIVE,FORTIVE,FORTIVE,FORTIVE CORP,FORTIVE,FORTIVE
FORTUNE BRANDS H,FORTUNE BRANDS H,FORTUNE BRANDS HOME & SECUR,FORTUNE BRANDS HOME & SECUR,FORTUNE BRANDS H,FORTUNE BRANDS HOME  SECUR
FORWARD AIR CORP,FORWARD AIR,FORWARD AIR,FORWARD AIR CORP,FORWARD AIR,FORWARD AIR
FOSSIL GROUP INC,FOSSIL GROUP,FOSSIL GROUP,FOSSIL GROUP INC,FOSSIL GROUP,FOSSIL GROUP
FOSTER WHEELER A,FOSTER WHEELER A,FOSTER WHEELER AG,FOSTER WHEELER AG,FOSTER WHEELER A,FOSTER WHEELER AG
FOUNDATION BLDG,FOUNDATION BLDG,FOUNDATION BLDG MRL,FOUNDATION BLDG MRL INC,FOUNDATION BLDG,FOUNDATION BLDG MRL
FOUR CORNERS,FOUR CORNERS,FOUR CORNERS PROPERTY TR,FOUR CORNERS PROPERTY TR INC,FOUR CORNERS,FOUR CORNERS PROPERTIES TR
FOX FACTORY HOLD,FOX FACTORY HOLD,FOX FACTORY HOLDING CP,FOX FACTORY HOLDING CP,FOX FACTORY HOLD,FOX FACTORY HOLDINGS
FRANKLIN COVEY,FRANKLIN COVEY,FRANKLIN COVEY CO,FRANKLIN COVEY CO,FRANKLIN COVEY,FRANKLIN COVEY
FRANKLIN ELEC,FRANKLIN ELEC,FRANKLIN ELECTRIC CO,FRANKLIN ELECTRIC CO INC,FRANKLIN ELEC,FRANKLIN ELECTRIC CO
FRANKLIN RES INC,FRANKLIN RES,FRANKLIN RESOURCES,FRANKLIN RESOURCES INC,FRANKLIN RES,FRANKLIN RESOURCES
FRANKLIN RSC,FRANKLIN RSC,FRANKLIN RESOURCES,FRANKLIN RESOURCES INC,FRANKLIN RSC,FRANKLIN RESOURCES
FRANKLIN STREET,FRANKLIN STREET,FRANKLIN STREET PROPERTIES,FRANKLIN STREET PROPERTIES,FRANKLIN STREET,FRANKLIN STREET PROPERTIES
FREDDIE MAC,FREDDIE MAC,FEDERAL HOME LOAN MORTG,FEDERAL HOME LOAN MORTG CORP,FREDDIE MAC,FEDERAL HOME LOAN MORTG
FREDS INC,FREDS,FREDS,FREDS INC,FREDS,FREDS
FREEPORT MCMORAN,FREEPORT MCMORAN,FREEPORT-MCMORAN,FREEPORT-MCMORAN INC,FREEPORT MCMORAN,FREEPORTMCMORAN
FRESH DEL MONTE,FRESH DEL MONTE,FRESH DEL MONTE PRODUCE,FRESH DEL MONTE PRODUCE INC,FRESH DEL MONTE,FRESH DEL MONTE PRODUCE
FRONTIER COMMN,FRONTIER COMMN,FRONTIER COMMUNICATIONS,FRONTIER COMMUNICATIONS CORP,FRONTIER COMMN,FRONTIER COMMUNICATIONS
FRPT MCMO COPPER,FRPT MCMO COPPER,FREEPORT-MCMORAN,FREEPORT-MCMORAN INC,FRPT MCMO COPPER,FREEPORTMCMORAN
FRST FINCL,FRST FINCL,FIRST FINL BANKSHARES,FIRST FINL BANKSHARES INC,FRST FINCL,FIRST FINL BANKSHARES
FRST REP BK,FRST REP BK,FIRST REPUBLIC BANK,FIRST REPUBLIC BANK,FRST REP BK,FIRST REPUBLIC BANK
FST REPUBLIC BNK,FST REPUBLIC BNK,FIRST REPUBLIC BANK,FIRST REPUBLIC BANK,FST REPUBLIC BNK,FIRST REPUBLIC BANK
FTI CONSULTING,FTI CONSULTING,FTI CONSULTING,FTI CONSULTING INC,FTI CONSULTING,FTI CONSULTING
FULLER H B CO,FULLER H B CO,FULLER (H. B.) CO,FULLER (H. B.) CO,FULLER H B,FULLER H B
FULTON FIN CP PA,FULTON FIN CP PA,FULTON FINANCIAL,FULTON FINANCIAL CORP,FULTON FIN CP PA,FULTON FINANCIAL
FUTUREFUEL CORP,FUTUREFUEL,FUTUREFUEL,FUTUREFUEL CORP,FUTUREFUEL,FUTUREFUEL
G 3 APPARL GRP,G 3 APPARL GRP,G-III APPAREL GROUP,G-III APPAREL GROUP LTD,G 3 APPARL GROUP,GIII APPAREL GROUP
G&K SERVICES,G&K SERVICES,G&K SERVICES  -CL A,G&K SERVICES INC  -CL A,GK SERVICES,GK SERVICES INC  CL A
G-III APPAREL GR,G-III APPAREL GR,G-III APPAREL GROUP,G-III APPAREL GROUP LTD,GIII APPAREL GR,GIII APPAREL GROUP
"GALLAGHER, ART J",GALLAGHER  ART J,ARTHUR J GALLAGHER & CO,ARTHUR J GALLAGHER & CO,GALLAGHER ART J,ARTHUR J GALLAGHER 
GAMESTOP,GAMESTOP,GAMESTOP,GAMESTOP CORP,GAMESTOP,GAMESTOP
GAMESTOP CORP,GAMESTOP,GAMESTOP,GAMESTOP CORP,GAMESTOP,GAMESTOP
GANNETT CO,GANNETT CO,GANNETT CO -OLD,GANNETT CO INC -OLD,GANNETT,GANNETT CO INC OLD
GAP,GAP,GAP,GAP INC,GAP,GAP
GAP INC,GAP,GAP,GAP INC,GAP,GAP
GARMIN,GARMIN,GARMIN,GARMIN LTD,GARMIN,GARMIN
GARTNER,GARTNER,GARTNER,GARTNER INC,GARTNER,GARTNER
GARTNER INC,GARTNER,GARTNER,GARTNER INC,GARTNER,GARTNER
GATX,GATX,GATX,GATX CORP,GATX,GATX
GATX CRP,GATX CRP,GATX,GATX CORP,GATX CRP,GATX
GCP APPLIED TECH,GCP APPLIED TECH,GCP APPLIED TECHNOLOGIES,GCP APPLIED TECHNOLOGIES INC,GCP APPLIED TECHNOLOGY,GCP APPLIED TECHNOLOGY
GE,GE,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,GE,GENERAL ELECTRIC
GEN CABLE CORP,GEN CABLE,GENERAL CABLE/DE,GENERAL CABLE CORP/DE,GEN CABLE,GENERAL CABLE CORPDE
GEN DYNAMICS,GEN DYNAMICS,GENERAL DYNAMICS,GENERAL DYNAMICS CORP,GEN DYNAMICS,GENERAL DYNAMICS
GEN ELECTRIC US,GEN ELECTRIC US,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,GEN ELECTRIC US,GENERAL ELECTRIC
GEN MILLS INC,GEN MILLS,GENERAL MILLS,GENERAL MILLS INC,GEN MILLS,GENERAL MILLS
GENERAC HOLDINGS,GENERAC,GENERAC,GENERAC HOLDINGS INC,GENERAC HOLDINGS,GENERAC HOLDINGS
GENERAL DYNAMICS,GENERAL DYNAMICS,GENERAL DYNAMICS,GENERAL DYNAMICS CORP,GENERAL DYNAMICS,GENERAL DYNAMICS
GENERAL ELECTRIC,GENERAL ELECTRIC,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,GENERAL ELECTRIC,GENERAL ELECTRIC
GENERAL MILLS,GENERAL MILLS,GENERAL MILLS,GENERAL MILLS INC,GENERAL MILLS,GENERAL MILLS
GENERAL MOTORS,GENERAL MOTORS,GENERAL MOTORS CO,GENERAL MOTORS CO,GENERAL MOTORS,GENERAL MOTORS
GENESCO INC,GENESCO,GENESCO,GENESCO INC,GENESCO,GENESCO
GENESEE & WYOM'G,GENESEE & WYOM'G,GENESEE & WYOMING  -CL A,GENESEE & WYOMING INC  -CL A,GENESEE  WYOMG,GENESEE  WYOMING INC  CL A
GENESEE & WYOMIN,GENESEE & WYOMIN,GENESEE & WYOMING  -CL A,GENESEE & WYOMING INC  -CL A,GENESEE  WYOMIN,GENESEE  WYOMING INC  CL A
GENOMIC HEALTH,GENOMIC HEALTH,GENOMIC HEALTH,GENOMIC HEALTH INC,GENOMIC HEALTH,GENOMIC HEALTH
GENTEX CORP,GENTEX,GENTEX,GENTEX CORP,GENTEX,GENTEX
GENTHERM INC,GENTHERM,GENTHERM,GENTHERM INC,GENTHERM,GENTHERM
GENTIVA HEALTH S,GENTIVA HEALTH S,GENTIVA HEALTH SERVICES,GENTIVA HEALTH SERVICES INC,GENTIVA HEALTH S,GENTIVA HEALTH SERVICES
GENUINE PARTS,GENUINE PARTS,GENUINE PARTS CO,GENUINE PARTS CO,GENUINE PARTS,GENUINE PARTS
GENWORTH FINANCI,GENWORTH FINANCI,GENWORTH FINANCIAL,GENWORTH FINANCIAL INC,GENWORTH FINANCI,GENWORTH FINANCIAL
GENWORTH FINCL,GENWORTH FINCL,GENWORTH FINANCIAL,GENWORTH FINANCIAL INC,GENWORTH FINCL,GENWORTH FINANCIAL
GEO GROUP,GEO GROUP,GEO GROUP,GEO GROUP INC,GEO GROUP,GEO GROUP
GEOSPACE TECH,GEOSPACE TECH,GEOSPACE TECHNOLOGIES,GEOSPACE TECHNOLOGIES CORP,GEOSPACE TECHNOLOGY,GEOSPACE TECHNOLOGY
GEOSPACE TECHNOL,GEOSPACE TECHNOL,GEOSPACE TECHNOLOGIES,GEOSPACE TECHNOLOGIES CORP,GEOSPACE TECHNOLOGY,GEOSPACE TECHNOLOGY
GETTY REALTY,GETTY REALTY,GETTY REALTY,GETTY REALTY CORP,GETTY REALTY,GETTY REALTY
GIBRALTAR INDUST,GIBRALTAR INDUST,GIBRALTAR INDUSTRIES,GIBRALTAR INDUSTRIES INC,GIBRALTAR INDUST,GIBRALTAR INDUSTRIES
GIGAMON INC,GIGAMON,GIGAMON,GIGAMON INC,GIGAMON,GIGAMON
GILEAD SCIENCES,GILEAD SCIENCES,GILEAD SCIENCES,GILEAD SCIENCES INC,GILEAD SCIENCES,GILEAD SCIENCES
GLACIER BNCP MT,GLACIER BNCP MT,GLACIER,GLACIER BANCORP INC,GLACIER BNCP MT,GLACIER BANK
GLATFELTER,GLATFELTER,GLATFELTER,GLATFELTER,GLATFELTER,GLATFELTER
GLAUKOS,GLAUKOS,GLAUKOS,GLAUKOS CORP,GLAUKOS,GLAUKOS
GLOBAL PAYMENTS,GLOBAL PAYMENTS,GLOBAL PAYMENTS,GLOBAL PAYMENTS INC,GLOBAL PAYMENTS,GLOBAL PAYMENTS
GLOBE SPECIALTY,GLOBE SPECIALTY,GLOBE SPECIALTY METALS,GLOBE SPECIALTY METALS INC,GLOBE SPECIALTY,GLOBE SPECIALTY METALS
GLOBUS MEDICAL I,GLOBUS MEDICAL I,GLOBUS MEDICAL,GLOBUS MEDICAL INC,GLOBUS MEDICAL I,GLOBUS MEDICAL
GLU MOBILE INC,GLU MOBILE,GLU MOBILE,GLU MOBILE INC,GLU MOBILE,GLU MOBILE
GMS,GMS,GMS,GMS INC,GMS,GMS
GOLDMAN,GOLDMAN,GOLDMAN SACHS GROUP,GOLDMAN SACHS GROUP INC,GOLDMAN,GOLDMAN SACHS GROUP
GOLDMAN SACHS,GOLDMAN SACHS,GOLDMAN SACHS GROUP,GOLDMAN SACHS GROUP INC,GOLDMAN SACHS,GOLDMAN SACHS GROUP
GOODYEAR TIRE,GOODYEAR TIRE,GOODYEAR TIRE & RUBBER CO,GOODYEAR TIRE & RUBBER CO,GOODYEAR TIRE,GOODYEAR TIRE  RUBBER
GRACE,GRACE,GRACE (W R) & CO,GRACE (W R) & CO,GRACE,GRACE W R 
GRACE W R,GRACE W R,GRACE (W R) & CO,GRACE (W R) & CO,GRACE W R,GRACE W R 
GRACO INC,GRACO,GRACO,GRACO INC,GRACO,GRACO
GRAND CANYON EDU,GRAND CANYON EDU,GRAND CANYON EDUCATION,GRAND CANYON EDUCATION INC,GRAND CANYON EDU,GRAND CANYON EDUCATION
GRANITE CONSTR,GRANITE CONSTR,GRANITE CONSTRUCTION,GRANITE CONSTRUCTION INC,GRANITE CONSTR,GRANITE CONSTRUCTION
GRANITE POINT,GRANITE POINT,GRANITE POINT MORTGE TRS,GRANITE POINT MORTGE TRS INC,GRANITE POINT,GRANITE POINT MORTGE TRS
GREAT ELM CAP,GREAT ELM CAP,GREAT ELM CAPITAL GROUP,GREAT ELM CAPITAL GROUP INC,GREAT ELM CAP,GREAT ELM CAPITAL GROUP
GREAT PLAINS,GREAT PLAINS,GREAT PLAINS ENERGY,GREAT PLAINS ENERGY INC,GREAT PLAINS,GREAT PLAINS ENERGY
GREAT WESTERN,GREAT WESTERN,GREAT WESTERN,GREAT WESTERN BANCORP INC,GREAT WESTERN,GREAT WESTERN BANK
GREEN BANCORP,GREEN,GREEN,GREEN BANCORP INC,GREEN BANK,GREEN BANK
GREEN DOT CORP,GREEN DOT,GREEN DOT,GREEN DOT CORP,GREEN DOT,GREEN DOT
GREEN PLAINS INC,GREEN PLAINS,GREEN PLAINS,GREEN PLAINS INC,GREEN PLAINS,GREEN PLAINS
GREEN PLAINS REN,GREEN PLAINS REN,GREEN PLAINS,GREEN PLAINS INC,GREEN PLAINS REN,GREEN PLAINS
GREENBRIER,GREENBRIER,GREENBRIER COS (THE),GREENBRIER COS INC (THE),GREENBRIER,GREENBRIER COS INC THE
GREENBRIER COS,GREENBRIER,GREENBRIER COS (THE),GREENBRIER COS INC (THE),GREENBRIER COS,GREENBRIER COS INC THE
GREENHILL,GREENHILL,GREENHILL & CO,GREENHILL & CO INC,GREENHILL,GREENHILL  CO
GREIF,GREIF,GREIF  -CL A,GREIF INC  -CL A,GREIF,GREIF INC  CL A
GRIFFON CP,GRIFFON CP,GRIFFON,GRIFFON CORP,GRIFFON,GRIFFON
GROUP 1 AUTOMOTI,GROUP 1 AUTOMOTI,GROUP 1 AUTOMOTIVE,GROUP 1 AUTOMOTIVE INC,GROUP 1 AUTOMOTI,GROUP 1 AUTOMOTIVE
GRUBHUB,GRUBHUB,GRUBHUB,GRUBHUB INC,GRUBHUB,GRUBHUB
GT ADVANCED TECH,GT ADVANCED TECH,GT ADVANCED TECHNOLOGIES,GT ADVANCED TECHNOLOGIES INC,GT ADVANCED TECHNOLOGY,GT ADVANCED TECHNOLOGY
GUESS ?,GUESS ?,GUESS,GUESS INC,GUESS ,GUESS
